Titel,Link,Genre,Jahr,Land,Aufnahmeleitung,Bauausführung,Bauten,Choreografie,Darsteller,Dialoge,Dramaturgie,Dreharbeiten,Drehbuch,Erstverleih,Garderobe,Herstellungsleitung,Idee,Kamera,Kamera-Assistenz,Kostüme,KünstlerischeOberleitung,Liedtexte,Maske,Musik,Musik-Ausführung,MusikalischeLeitung,MusikalischeVorlage,Produktionsfirma,Produktionsleitung,Produzent,Regie,Regie-Assistenz,Requisite,Schnitt,Script,Standfotos,Supervision,Ton,Vorlage,im Auftrag von,Länge,Format,Bild/Ton,Aufführung,Prüfung/Zensur
Achtung Harry! Augen auf!,https://www.filmportal.de/film/achtung-harry-augen-auf_c553696099294c7ca02778682da0b1ec,Spielfilm,1926,Deutschland,,,Willi A. Herrmann,,"Harry Piel: Ein junger Reporter, Eugen Burg: Graham Horst, Besitzer des Kontinental-Kuriers, Denise Legeay: Ethel Horst, seine Tochter, Jaro Fürth: Chefredakteur, Colette Corder""Rote Gräfin"", Karl Falkenberg: Prinz Achmed, Georg John: Nathan Miller",,,,"Henrik Galeen, Harry Piel",,,,,"Georg Muschner, Gotthardt Wolf",,,,,,,,,,Phoebus-Film AG (Berlin),,,Harry Piel,,,,,,,,,,,,,,
Die Akten der Hella Morgins,https://www.filmportal.de/film/die-akten-der-hella-morgins_bbf87c38282a46679b9d278d1d5f66e9,Spielfilm,1926,Deutschland,,,,,Edda Lindborg,,,,,,,,,,,,,,,,,,,,,,Franz Hofer (ungesichert),,,,,,,,,,,,,,
Als ich wiederkam,https://www.filmportal.de/film/als-ich-wiederkam_f721a4937bf642bea942f3cb5a78ffa4,Spielfilm,1926,Deutschland,,,Heinrich Richter,,"Liane Haid: Josefa Voglhuber, Wirtin, Max Hansen, Henry Bender: Wilhelm Giesecke, Livio C. Pavanelli, Maly Delschaft: Ottilie Giesecke, Hermann Picha: Hinzelmann, Privatgelehrter, Ferdinand Bonn, Anton Pointner, Anita Dorris",,,,"Alfred Halm, Lothar Knud Frederik",,,,,Arpad Viragh,,,,,,Hans May (Kino-Musik),,,,Richard Oswald-Produktion Gmb: H (Berlin),,,Richard Oswald,,,,,,,,,,,,,,
Der Amateur oder Die große Wette,https://www.filmportal.de/film/der-amateur-oder-die-grosse-wette_30637e0f43dd47e8bbf43d4a49bfc2ee,Spielfilm,1926,Deutschland,,,,,Ernst Reicher?,,,,,,,,,,,,,,,,,,,Stuart Webbs Comp.,,,Ernst Reicher (?),,,,,,,,,,,,,,
An der schönen blauen Donau,https://www.filmportal.de/film/an-der-schoenen-blauen-donau_6d6eeb2a089d4eb7b0d9beabe42488a5,Spielfilm,1926,Deutschland,,,"Andrej Andrejew, Jacek Rotmil",,"Lya Mara: Mizzi, Harry Liedtke: Graf Oskar Zirsky, Ernö Verebes: Graf Rudi Zirsky, Julius Falkenstein: Erbgraf Zirsky, Hans Junkermann: Erzherzog Ignaz, Olga Engl: Gräfin Zirsky, Albert Paulig: Adjutant, Henry Bender: Graf Casimir, Hans Albers: Graf Jaromir, Arthur Kraußneck: Josef Stingl, Karl Platen: Florian Staudinger, Schuhmachermeister, Max Leffle: Kardinal Graf Zirsky, Frida Richard, Hugo Döblin",,,,"Fanny Carlsen, Willy Haas",,,,,Frederik Fuglsang,,,,,,Willy Schmidt-Gentner (Kino-Musik),,,,Friedrich-Zelnik-Film Gmb: H (Berlin),,Friedrich Zelnik,Friedrich Zelnik,,,,,,,,,D.L.S. (Berlin),2690 m,"35mm, 1:1,33","s/w, ohne Ton",,
Annemarie und ihr Ulan,https://www.filmportal.de/film/annemarie-und-ihr-ulan_ae9722e51c8040b083b126dbfecf753c,Spielfilm,1926,Deutschland,,,Karl Machus,,"Colette Brettel: Terry von Struppwitz, Siegfried Arno: Günther Bock, Einjähriger bei den Ulanen, Hans Junkermann: Oberstleutnant Strupp von Struppwitz, Elsa Wasaseine Frau, Julius Falkenstein: Oberleutnant von Gelbsattel, Carl Auen: Leutnant Aribert Graf von Nedlitz, Kurt Gerron: Wachtmeister, Paul Westermeier: Paul Lehmann, Ulan, sein Bruder, Ellen Plessow: Gräfin Nedlitz auf Borstenfeld, Hermann Picha: Jochen, ihr Kammerdiener, Manja Tzatschewa: Benita, eine Tänzerin vom Maxim, Henry Bender: Kommissionsrat Julius Bock, Besitzer einer Drogeri, Emmy Wydaseine Frau, Evi Eva: Käthe, deren Tochter, Hanne Brinkmann: Annemarie, Bocks Köchin, Gerhard Ritterband: August, Bocks Lehrling, Karl Harbacher: Lohndiener",,,,Alexander Alexander,,,,,Willy Großstück,,,,,,,,,,,,,Erich Eriksen,,,,,,,,,,70 min,"35mm, 1:1,33","s/w, stumm",,
Bara en danserska,https://www.filmportal.de/film/bara-en-danserska_4a2d4baeb4e74169bb8f35d1eb207b01,Spielfilm,1926,Deutschland/Schweden,,,Franz Schroedter,,"Lil Dagover: Marie Tippner, Jakob Tiedtke: Alois Zentler, Rentier, Lucie Höflich: Frau Radinger, Karin Swanström: Frau Zentler, Ivan Hedqvist: Baron von Wittenberg, Heinrichs Pate, Anna-Lisa Ryding: Grete, Hertha von Walther: Angeklagte, Walter Janssen: Paul, Nils Ahrén: Radinger, Landgerichtsdirektor, Harry Halm: Heinrich, Hermann Picha, Robert Leffler: Freunde im Hause Zentler, Hans Albers: Lebemann, Clementine Plessner: Köchin im Hause Zentler, Michael Tschernoff: Portier im Hause Zentler, Uno Henning, Hugo Döblin",,,,"Paul Merzbach, Olof Molander",,,,,"Franz Planer, Hugo Edlund",,,,,,Otto Stenzeel (Kino-Musik),,,,Isepa-Wengeroff-Film Gmb: H (Berlin),"Oscar Hemberg (Svenska-Film, Stockholm)",,Olof Molander,,,,,Curt Oertel,,,,,,"35mm, 1:1,33","s/w, ohne Ton",,
Der Bergadler,https://www.filmportal.de/film/der-bergadler_9cb8757bf2314187a6ef5c21bd0e0cf2,Spielfilm,1926,Deutschland,,,"Willy Reiber, Ludwig Reiber",,"Nita Naldi: Dorfschullehrerin, Bernhard Goetzke: Bürgermeister Petermann, Malcolm Keen: Gottfried, der Bergadler, John Hamilton: Sohn des Bürgermeisters, Ferdinand Martini",,,,"Max Ferner, Charles Lapworth, Eliot Stannard",,,,,Gaetano di Ventimiglia,,,,,,,,,,Emelka-Konzern (München),,,Alfred Hitchcock,,,,,,,,,,"7 Akte, 2171 m",,,,
Bismarck 1862 - 1898,https://www.filmportal.de/film/bismarck-1862-1898_bd2e3573ff0d4b5db43ca7b8924cb451,Spielfilm,1926,Deutschland,,,Willi A. Herrmann,,"Franz Ludwig: Otto von Bismarck, Robert Leffler, Erna Morena, Ralph Ludwig: Otto von Bismarck als Knabe, Bruno Ziener, Heinrich Peer, Adolf Klein, Victor Senger, Wolfgang von Schwindt, Rudolf Lettinger, Maria Santen, Carl de Vogt, Barbara von Annenkoff, Hugo Flink, Eugen Möbius",,,,Ludwig Ziehen,,,,,Willy Großstück,,,,,,Felix Bartsch (Kino-Musik),,,,,,,Curt Blachnitzky,,,,,,,,,,,,,,
Bleibe im Lande,https://www.filmportal.de/film/bleibe-im-lande_52fa33f505e54cf8bfa09d8650e084db,Spielfilm,1926,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Boxerbraut,https://www.filmportal.de/film/die-boxerbraut_314262149fd742fdb9309856320db4ec,Spielfilm,1926,Deutschland,,,Erich Czerwonski,,"Xenia Desni: Helen von Vliet, Willy Fritsch: Fritz Spitz, Hermann Picha: Siegfried Spitz, sein Vater, Teddy Bill: Heinz Cordon, Harry Lamberts-Paulsen: Ernst Kempers, Meisterboxer, Alice Kempen: Lissy, Louis Brody: Fighting Bob",,,,"Robert Liebmann, Heinz Gordon",,,,,Theodor Sparkuhl,,,,,,,,,,,,,Johannes Guter,,,,,,,,,,2019 m,"35mm, 1:1,33","s/w, ohne Ton",,
Die Brüder Schellenberg,https://www.filmportal.de/film/die-brueder-schellenberg_d0c41077936e4ec3984a47afc113592c,Spielfilm,1926,Deutschland,,,"Karl Görge, Curt Kahle",,"Conrad Veidt: Wenzel Schellenberg / Michael Schellenberg, Lil Dagover: Esther Raucheisen, Liane Haid: Jenny Florian, Henry de Vries: Fabrikbesitzer Raucheisen, Werner Fuetterer: Georg Weidenbach, Bruno Kastner: Kaczinsky, Julius Falkenstein: Esthers 1. Verehrer, Wilhelm Bendow: Esthers 2. Verehrer, Erich Kaiser-Titz: Esthers 3.Verehrer, Paul Morgan: Schieber, Jaro Fürth: Wucherer, Frida Richard: Verarmte Witwe",,,,"Willy Haas, Karl Grune",,,,,"Curt Courant, Karl Hasselmann",,,,,,Werner Richard Heymann (Kino-Musik),,Ernö Rapée (Bei der Uraufführung),,Universum-Film AG (UFA) (Berlin),,Erich Pommer,Karl Grune,,,,,,,,Bernhard Kellermann (Roman),,"7 Akte, 2834 m","35mm, 1:1,33","s/w, stumm",,
"Bushido, das eiserne Gesetz",https://www.filmportal.de/film/bushido-das-eiserne-gesetz_21d24d6b4c74446ab9538237ad63f776,Spielfilm,1926,Deutschland,,,,,"Loo Holl, Carl W. Tetting, W. Ahashi, Tsuyaka Okajiama",,,,Heinz Carl Heiland,,,,,,,,,,,Walter Ulfig (Kino-Musik),,,,Deutsch-Nordische Film-Union Gmb: H (Berlin),,,"Heinz Carl Heiland, Zamnu Kako",,,,,,,,,,,,,,
Dagfin,https://www.filmportal.de/film/dagfin_90ad3a5025344c7a9ea92680438745dc,Spielfilm,1926,Deutschland,Robert Wuellner,,"Erich Zander, Ernst Schütte",,"Paul Richter: Skilehrer Dagfin Holberg, Marcella Albani: Lydia Boysen, Paul Wegener: Türkischer General Sabi Bey, Mary Johnson: Tilly von Gain, Alfred Gerasch: Axel Boysen, Hedwig Wangel: Lydias Zofe, Alexander Murski: Oberst von Gain, Nien Sön Ling: Sabi Beys Sekretär Garron, Ernst Deutsch: Armenier Assairan, Paul Biensfeldt",,,,"Joe May, Adolf Lantz, Jane Bess, Hans Székely",,,,,"Carl Drews, Edgar S. Ziesemer",,,,,,Willy Schmidt-Gentner (Kino-Musik bei der Uraufführung)),,,,May-Film AG (Berlin),,Joe May,Joe May,,,,,,,,"Werner Scheff (Roman ""Dagfin, der Schneeschuhläufer"")",Phoebus-Film AG (Berlin),"10 Akte, 3389 m","35mm, 1:1,33","s/w, ohne Ton",,
Das war in Heidelberg in blauer Sommernacht,https://www.filmportal.de/film/das-war-in-heidelberg-in-blauer-sommernacht_d8701f3ee24445cc8a808195d8632f1d,Spielfilm,1926,Deutschland,,,Willi A. Herrmann,,"Fritz Alberti: Sanitätsrat Liningen, Frida Richard: Großmutter Liningen, Eduard von Winterstein: Gutsbesitzer Wagner, Antonie Jaeckel: Deine Frau, Charlotte Susa: Grete, Tochter, Ernst Rückert: Rudolf, Sohn, Olga Engl: Frau v. Helling, Hertha von Walther: Hertha, deren Tochter, Julius Falkenstein: Stransky, Karl Etlinger: Ehrenfleck, Schmierenschauspieler, Tonio Gennaro: Der erste Chargierte, Max Maximilian: Korpsdiener, Fritz Beckmann: Revuedirektor, Margarete Kupfer: Studentenwirtin, Fritz Schroeter: Geldverleiher",,,,Siegfried Philippi,,,,,Josef Dietze,,,,,,,,,,,,,Emmerich Hanus,,,,,,,,,,"6 Akte, 2395 m",,"s/w, stumm",,
Der Liebe Lust und Leid,https://www.filmportal.de/film/der-liebe-lust-und-leid_1bd03c098b7f42d19bdbba397e42eb51,Spielfilm,1926,Deutschland,,,Karl Machus,,"Charlotte Susa, Margarete Kupfer, Hilde Maroff, Maria Forescu, Emmy Wyda, Marion Illing, Grete Schmidt, Sylvia Torff, Hilde Hofer-Pittschau, Hans Mierendorff, Ernst Rückert, Fritz Rasp, Kurt Gerron, Charles Willy Kayser, Hermann Picha, Robert Garrison, Ernst Behmer, Ludwig Sachs, Philipp Manning, Antonie Jaeckel, Albert Dettmann",,,,Helene Lackner,,,,,Arpad Viragh,,,Heinz Schall,,,,,,,,,,Kurt Gerron,,,,,,,,,,,"35mm, 1:1,33","s/w, stumm",,
